name,category,type,latitude,longitude
The Elephant Room,amenity,bar,30.2656227,-97.7434984
Starbucks,amenity,cafe,30.2682668,-97.7429695
Starbucks,amenity,cafe,30.271876,-97.7411784
Subway,amenity,fast_food,30.1638137,-97.7905315
La Palapa,amenity,restaurant,30.3221769,-97.6932173
Pappasitos,amenity,restaurant,30.3269188,-97.704881
Chinatown,amenity,restaurant,30.3565687,-97.7473599
Thundercloud Subs,amenity,fast_food,30.2781347,-97.7720326
Galaxy Cafe,amenity,restaurant,30.2794133,-97.7600581
Thundercloud Subs,amenity,fast_food,30.2435659,-97.7818316
Phoenicia Bakery & Deli,amenity,fast_food,30.24346,-97.7831233
Giovanni Pizza Stand,amenity,restaurant,30.2437468,-97.7828277
El Alma South (Westgate),amenity,restaurant,30.2316672,-97.8001648
Sap's Fine Thai Cuisine,amenity,restaurant,30.2314518,-97.8008555
Starbucks,amenity,cafe,30.2026426,-97.878822
Starbucks,amenity,cafe,30.4019908,-97.7263957
Upper Crust Bakery,amenity,cafe,30.3158003,-97.7416401
Pacha,amenity,cafe,30.3173785,-97.7406015
Blue Star Cafeteria,amenity,restaurant,30.3185788,-97.7397518
Gusto Italian Kitchen,amenity,restaurant,30.3183417,-97.7399664
The Omelettry,amenity,restaurant,30.3067572,-97.7154666
Maru Japanese,amenity,restaurant,30.3179119,-97.7402411
Fonda San Miguel,amenity,restaurant,30.3255061,-97.7433739
Phil's Icehouse,amenity,fast_food,30.3321432,-97.7403073
KHON Thai Kitchen by Seeda,amenity,restaurant,30.333489,-97.7409207
Thom's Market,shop,supermarket,30.3349573,-97.7393304
Taqueria Guadalajara Arandas,amenity,restaurant,30.341561,-97.7391639
The Aristocrat,amenity,bar,30.3402379,-97.73864
Lala's,amenity,bar,30.3446186,-97.736413
El Mercado,amenity,restaurant,30.3502257,-97.7350998
Top Notch,amenity,fast_food,30.3511441,-97.7335205
Thundercloud Subs,amenity,fast_food,30.3577265,-97.7309533
Madam Mam's,amenity,restaurant,30.3595133,-97.7345247
Zen Japanese Food Fast,amenity,restaurant,30.360294,-97.7373039
Texadelphia,amenity,fast_food,30.3602465,-97.7404814
Fresh Plus,shop,supermarket,30.3582539,-97.7390479
Genuine Joe Coffeehouse,amenity,cafe,30.3540549,-97.7272892
Oakmont Food Company,amenity,restaurant,30.3059582,-97.7442691
Teo's Gelato and Espresso,amenity,cafe,30.3065679,-97.7451642
,amenity,restaurant,30.3082553,-97.7503631
Kerbey Lane Cafe,amenity,restaurant,30.3080182,-97.7504833
Russell's Bakery,amenity,cafe,30.3327051,-97.7601993
Chez Zee,amenity,restaurant,30.3367185,-97.7579163
Dan's Hamburgers,amenity,fast_food,30.3248791,-97.7273759
Short Stop,amenity,fast_food,30.3606405,-97.7407253
Torchy's Tacos - Austin,amenity,fast_food,30.323403,-97.739207
