h3,quietness,n_reviews_aspect,n_reviews_total,aspect_coverage
894898c1057ffff,0.6958,15,107,0.14
894898c124bffff,0.6817,12,28,0.429
894898c13dbffff,0.964,1,1,1.0
894898c164bffff,0.6497,54,166,0.325
894898c167bffff,0.3808,4,22,0.182
894898c3317ffff,0.5838,45,153,0.294
894898c332bffff,0.7615,70,194,0.361
894898c36c3ffff,0.7104,167,416,0.401
894898c8003ffff,0.6085,71,476,0.149
894898c8007ffff,0.7927,24,122,0.197
894898c8013ffff,0.5838,28,98,0.286
894898c8017ffff,0.7616,2,18,0.111
894898c8023ffff,0.427,15,84,0.179
894898c802bffff,0.6559,252,1436,0.175
894898c8033ffff,0.5801,44,272,0.162
894898c803bffff,0.7616,1,32,0.031
894898c804fffff,0.8426,5,18,0.278
894898c8063ffff,0.8122,4,20,0.2
894898c8067ffff,-0.1012,2,31,0.065
894898c806fffff,0.7717,20,111,0.18
894898c8073ffff,0.7368,35,141,0.248
894898c807bffff,0.7616,1,7,0.143
894898c8087ffff,0.6917,15,94,0.16
894898c808bffff,0.7035,32,154,0.208
894898c808fffff,0.2071,34,197,0.173
894898c80a3ffff,0.6415,20,140,0.143
894898c80a7ffff,0.8194,7,72,0.097
894898c80abffff,0.7035,29,114,0.254
894898c80afffff,0.7841,17,81,0.21
894898c80b3ffff,0.5585,13,93,0.14
894898c80b7ffff,0.7616,2,5,0.4
894898c80bbffff,0.3136,16,129,0.124
894898c80c7ffff,0.5712,8,50,0.16
894898c80d7ffff,0.2359,16,92,0.174
894898c8153ffff,0.1012,2,8,0.25
894898c8183ffff,0.5151,7,58,0.121
894898c818bffff,-0.7616,2,10,0.2
894898c819bffff,0.2539,3,17,0.176
894898c81c3ffff,0.457,5,19,0.263
894898c81cbffff,0.6295,10,39,0.256
894898c81cfffff,0.7616,3,55,0.055
894898c81d7ffff,0.5788,22,101,0.218
894898c81dbffff,0.5965,37,173,0.214
894898c8207ffff,0.7616,1,11,0.091
894898c820fffff,-0.7616,2,22,0.091
894898c824fffff,0.2539,3,5,0.6
894898c8273ffff,0.7996,14,64,0.219
894898c827bffff,0.1921,25,173,0.145
894898c8303ffff,0.385,61,188,0.324
894898c830bffff,-0.2975,6,40,0.15
894898c830fffff,0.6684,10,49,0.204
894898c8323ffff,0.454,31,258,0.12
894898c8333ffff,-0.3933,29,110,0.264
894898c833bffff,0.2049,25,320,0.078
894898c8377ffff,0.7209,41,248,0.165
894898c8383ffff,0.5872,102,499,0.204
894898c8387ffff,-0.1523,4,31,0.129
894898c8397ffff,0.6999,140,515,0.272
894898c83a7ffff,0.2157,7,88,0.08
894898c83b7ffff,0.8628,4,84,0.048
