id,quietness,q_raw,n_aspect,h3
1000016109686428185,0.1904,0.15231883119115297,5,894898ca887ffff
1000214231632561366,0.6179,0.8290719639957822,3,89489e355abffff
1000797929335000571,0.7616,0.7615941559557649,1,894898cb2bbffff
1000866089852243253,0.7869,0.7615941559557649,1,89489eacec7ffff
1000949971433207571,0.1259,0.016869452010004338,12,89489e3542bffff
1001303,0.6219,0.628854022414874,13,89489e3587bffff
10015237,0.3953,0.7615941559557649,1,89489e34053ffff
1001539944471972916,0.0794,-0.0034474637345459514,9,89489e3714fffff
1001685419002718517,0.3859,0.3807970779778824,4,89489e30e77ffff
1002280080104423709,0.348,0.7615941559557649,1,89489e3407bffff
1002323696641538827,0.4858,0.7615941559557649,3,89489e3407bffff
1002845018120279086,-0.0488,-0.03994005227397949,14,89489e373b3ffff
1002881780954180678,-0.2555,-0.3263974954096135,7,89489e373b3ffff
1002882893764195485,0.7616,0.7615941559557649,3,89489e364d7ffff
1003476128001364385,0.6819,0.685270152659817,12,89489e373b7ffff
1003506424059642239,0.3284,-0.7615941559557649,1,89489e22bb7ffff
1003577178401589955,0.6995,0.7615941559557649,5,89489e3403bffff
1003779165137866793,0.7305,0.7615941559557649,4,89489e265d3ffff
1003781814165123820,0.5223,0.7615941559557649,4,89489e265d7ffff
1003791027353291333,0.0994,0.7615941559557649,1,89489e373bbffff
1003881093066787583,0.544,0.5439958256826892,7,89489e27353ffff
1003884213254296418,0.6373,0.6373362155478287,9,89489e244cbffff
1003958799234908794,0.8628,0.8290719639957822,3,89489e32dd3ffff
10042925,0.5412,0.5396066170619305,77,89489e259b3ffff
1004400000518056112,0.7616,0.7615941559557649,1,89489eacd3bffff
1004609822135627050,0.7768,0.7615941559557649,1,89489e31b2bffff
1004656893290536965,0.6907,0.7083407529237922,7,89489e3716bffff
1005023619159581837,0.1326,-0.7615941559557649,1,89489e373d7ffff
10052537,0.4034,0.0,2,89489e34073ffff
1005978614020172320,0.6833,0.7615941559557649,4,89489e22d93ffff
10062315,0.5132,0.7615941559557649,1,89489e346b7ffff
1006422821319422226,0.2558,0.7615941559557649,1,89489e3462bffff
1006542293879435569,0.6896,0.7615941559557649,2,894898cb06bffff
1006661068078431982,0.8122,0.8122025119857779,2,894898c8593ffff
1006725232625192894,0.7905,0.7905132165443438,14,894898c853bffff
