h3,noise_311
8948985022fffff,1
89489850cbbffff,1
894898514cfffff,1
894898514d3ffff,1
89489852e4bffff,1
89489853257ffff,1
8948985326bffff,1
89489853327ffff,1
8948985336fffff,1
8948985345bffff,1
8948985a047ffff,1
8948985a4d3ffff,4
8948985b173ffff,2
8948985b4afffff,1
8948985b693ffff,1
8948985b6d3ffff,1
894898c800fffff,1
894898c8073ffff,1
894898c808bffff,1
894898c8253ffff,2
894898c82c7ffff,1
894898c8323ffff,1
894898c8543ffff,1
894898c854fffff,1
894898c858fffff,1
894898c8a97ffff,1
894898c8e0bffff,2
894898c8e53ffff,1
894898c8ec3ffff,1
894898c9017ffff,2
894898c9023ffff,1
894898c902bffff,4
894898c9033ffff,1
894898c9067ffff,1
894898c906bffff,4
894898c906fffff,10
894898c9077ffff,1
894898c9083ffff,6
894898c908bffff,1
894898c908fffff,1
894898c90abffff,1
894898c914bffff,12
894898c914fffff,1
894898c918fffff,1
894898c9223ffff,3
894898c9233ffff,12
894898c9237ffff,1
894898c92a3ffff,1
894898c92afffff,2
894898c9313ffff,2
894898c932fffff,48
894898c9337ffff,5
894898c9383ffff,1
894898c9387ffff,17
894898c938bffff,1
894898c938fffff,20
894898c93a3ffff,4
894898c93abffff,42
894898c93afffff,30
894898c93b7ffff,1
894898c93dbffff,16
894898c94afffff,2
894898c94b7ffff,1
894898c952bffff,1
894898c9537ffff,1
894898c95cfffff,3
894898c9853ffff,1
894898c9c47ffff,1
894898c9c77ffff,1
894898c9e0fffff,1
894898c9ecbffff,3
894898ca247ffff,2
894898ca2dbffff,2
894898ca683ffff,2
894898ca6a3ffff,1
894898cacb7ffff,1
894898cb063ffff,1
894898cb15bffff,1
894898cb1cfffff,1
894898cb243ffff,1
894898cb253ffff,5
894898cb2cbffff,4
894898cb2dbffff,1
894898cb303ffff,1
894898cb30bffff,2
894898cb343ffff,5
894898cb347ffff,1
894898cb34fffff,3
894898cb3c3ffff,29
894898cb3cbffff,1
894898cb3d3ffff,9
894898d8313ffff,1
894898d85abffff,1
894898d85bbffff,4
894898d8603ffff,1
894898d861bffff,4
894898d86c7ffff,1
894898d86dbffff,2
894898d9003ffff,5
894898d900bffff,3
894898d900fffff,3
894898d9013ffff,6
894898d901bffff,7
894898d9023ffff,3
894898d9027ffff,5
894898d902bffff,1
894898d902fffff,4
894898d9033ffff,3
894898d9037ffff,2
894898d903bffff,13
894898d9043ffff,18
894898d9047ffff,6
894898d904fffff,14
894898d9053ffff,3
894898d9057ffff,3
894898d905bffff,1
894898d9063ffff,12
894898d906fffff,1
894898d9077ffff,5
894898d907bffff,6
894898d9083ffff,1
894898d908fffff,1
894898d9093ffff,1
894898d909bffff,5
894898d90abffff,5
894898d90afffff,1
894898d90b3ffff,2
894898d90bbffff,3
894898d90c3ffff,2
894898d90c7ffff,1
894898d90cbffff,3
894898d90cfffff,2
894898d90d3ffff,10
894898d90d7ffff,3
894898d9103ffff,5
894898d910fffff,12
894898d9113ffff,3
894898d911bffff,26
894898d9123ffff,12
894898d9127ffff,3
894898d912fffff,5
894898d9133ffff,7
894898d9137ffff,1
894898d913bffff,7
894898d9143ffff,3
894898d914bffff,3
894898d914fffff,20
894898d9153ffff,7
894898d9157ffff,10
894898d915bffff,12
894898d9163ffff,6
894898d9167ffff,1
894898d916fffff,5
894898d9173ffff,4
894898d9177ffff,2
894898d917bffff,8
894898d9193ffff,1
894898d91abffff,1
894898d91c7ffff,1
894898d91cbffff,4
894898d91cfffff,1
894898d91dbffff,1
894898d9203ffff,1
894898d9207ffff,2
894898d920fffff,5
894898d9213ffff,3
894898d9217ffff,1
894898d921bffff,1
894898d9223ffff,1
894898d9227ffff,6
894898d922fffff,2
894898d9237ffff,2
894898d923bffff,4
894898d9243ffff,35
894898d9247ffff,26
894898d924fffff,6
894898d9253ffff,1
894898d925bffff,1
894898d9263ffff,2
894898d9267ffff,1
894898d926fffff,2
894898d927bffff,60
894898d9283ffff,6
894898d9287ffff,2
894898d9293ffff,8
894898d9297ffff,9
894898d92a3ffff,2
894898d92abffff,12
894898d92b3ffff,7
894898d92b7ffff,2
894898d92bbffff,4
894898d92c3ffff,1
894898d92c7ffff,2
894898d92cbffff,3
